DeepSeek-R1-Distill-Llama-8B	Mistral-7B-Instruct-v0.2	347
DeepSeek-R1-Distill-Llama-8B	Mistral-7B-Instruct-v0.3	347
DeepSeek-R1-Distill-Llama-8B	Qwen2.5-7B-Instruct	347
DeepSeek-R1-Distill-Llama-8B	Qwen3-8B	347
Meta-Llama-3-8B-Instruct	Mistral-7B-Instruct-v0.2	347
Meta-Llama-3-8B-Instruct	Mistral-7B-Instruct-v0.3	347
Meta-Llama-3-8B-Instruct	Qwen2.5-7B-Instruct	347
Meta-Llama-3-8B-Instruct	Qwen3-8B	347
Meta-Llama-3-8B-Instruct	allenai_OLMo-3-7B-Instruct	347
Mistral-7B-Instruct-v0.2	Meta-Llama-3-8B-Instruct	347
Mistral-7B-Instruct-v0.2	Mistral-7B-Instruct-v0.3	347
Mistral-7B-Instruct-v0.2	Qwen2.5-7B-Instruct	347
Mistral-7B-Instruct-v0.2	Qwen3-8B	347
Mistral-7B-Instruct-v0.2	Qwen_Qwen3-14B	347
Mistral-7B-Instruct-v0.2	allenai_OLMo-3-7B-Instruct	347
Mistral-7B-Instruct-v0.3	Meta-Llama-3-8B-Instruct	347
Mistral-7B-Instruct-v0.3	Mistral-7B-Instruct-v0.2	347
Mistral-7B-Instruct-v0.3	Qwen2.5-7B-Instruct	347
Mistral-7B-Instruct-v0.3	Qwen3-8B	347
Mistral-7B-Instruct-v0.3	Qwen_Qwen3-14B	347
Mistral-7B-Instruct-v0.3	allenai_OLMo-3-7B-Instruct	347
Qwen2.5-7B-Instruct	Meta-Llama-3-8B-Instruct	347
Qwen2.5-7B-Instruct	Mistral-7B-Instruct-v0.2	347
Qwen2.5-7B-Instruct	Qwen3-8B	347
Qwen2.5-7B-Instruct	Qwen_Qwen3-14B	347
allenai_OLMo-3-7B-Instruct	Meta-Llama-3-8B-Instruct	347
allenai_OLMo-3-7B-Instruct	Mistral-7B-Instruct-v0.2	347
allenai_OLMo-3-7B-Instruct	Mistral-7B-Instruct-v0.3	347
allenai_OLMo-3-7B-Instruct	Qwen2.5-7B-Instruct	347
allenai_OLMo-3-7B-Instruct	Qwen_Qwen3-14B	347
DeepSeek-R1-Distill-Llama-8B	Mistral-7B-Instruct-v0.2	173
DeepSeek-R1-Distill-Llama-8B	Qwen2.5-7B-Instruct	173
DeepSeek-R1-Distill-Llama-8B	Qwen3-8B	173
Meta-Llama-3-8B-Instruct	Mistral-7B-Instruct-v0.2	173
Meta-Llama-3-8B-Instruct	Mistral-7B-Instruct-v0.3	173
Meta-Llama-3-8B-Instruct	Qwen2.5-7B-Instruct	173
Meta-Llama-3-8B-Instruct	Qwen3-8B	173
Meta-Llama-3-8B-Instruct	allenai_OLMo-3-7B-Instruct	173
Mistral-7B-Instruct-v0.2	Meta-Llama-3-8B-Instruct	173
Mistral-7B-Instruct-v0.2	Mistral-7B-Instruct-v0.3	173
Mistral-7B-Instruct-v0.2	Qwen2.5-7B-Instruct	173
